,title,genre,rating,runtime,age_rating,years
25,Supernatural,"Drama, Fantasy, Horror",8.4,44 min,TV-14,(2005–2020)
26,NCIS,"Action, Crime, Drama",7.7,60 min,TV-14,(2003– )
27,Friends,"Comedy, Romance",8.9,22 min,TV-PG,(1994–2004)
28,Kung Fu,"Action, Adventure, Drama",4.7,N/A,TV-14,(2021– )
29,Superstore,Comedy,7.8,22 min,TV-14,(2015–2021)
30,The Boys,"Action, Comedy, Crime",8.7,60 min,TV-MA,(2019– )
31,Unforgotten,"Crime, Drama, Mystery",8.3,45 min,TV-MA,(2015– )
32,The Mandalorian,"Action, Adventure, Sci-Fi",8.8,40 min,TV-14,(2019– )
33,The Sopranos,"Crime, Drama",9.2,55 min,TV-MA,(1999–2007)
34,Better Call Saul,"Crime, Drama",8.7,46 min,TV-MA,(2015–2021)
35,Better Call Saul,"Crime, Drama",8.7,46 min,TV-MA,(2015–2021)
36,Lucifer,"Crime, Drama, Fantasy",8.1,42 min,TV-14,(2016– )
37,Midsomer Murders,"Crime, Drama, Mystery",7.7,90 min,TV-14,(1997– )
38,The Big Bang Theory,"Comedy, Romance",8.1,22 min,TV-PG,(2007–2019)
39,Yellowstone,"Drama, Western",8.6,60 min,TV-MA,(2018– )
40,The Witcher,"Action, Adventure, Fantasy",8.2,60 min,TV-MA,(2019– )
41,Riverdale,"Crime, Drama, Mystery",6.9,45 min,TV-14,(2017– )
42,Lost,"Adventure, Drama, Fantasy",8.3,44 min,TV-14,(2004–2010)
43,For All Mankind,"Drama, Sci-Fi",7.7,60 min,TV-MA,(2019– )
44,Ozark,"Crime, Drama, Thriller",8.4,60 min,TV-MA,(2017– )
45,Black Mirror,"Drama, Sci-Fi, Thriller",8.8,60 min,TV-MA,(2011– )
46,Fear the Walking Dead,"Drama, Horror, Sci-Fi",6.9,44 min,TV-MA,(2015– )
47,American Horror Story,"Drama, Horror, Thriller",8.0,60 min,TV-MA,(2011– )
48,Fargo,"Crime, Drama, Thriller",8.9,53 min,TV-MA,(2014– )
49,Ted Lasso,"Comedy, Drama, Sport",8.7,30 min,TV-MA,(2020– )
50,The Sinner,"Crime, Drama, Mystery",7.9,45 min,TV-MA,(2017– )
51,Shtisel,Drama,8.6,45 min,TV-14,(2013– )
52,The Rookie,"Comedy, Crime, Drama",8.0,43 min,TV-14,(2018– )
53,The Good Doctor,Drama,8.2,41 min,TV-14,(2017– )
54,Supergirl,"Action, Adventure, Drama",6.2,43 min,TV-PG,(2015–2021)
55,Bones,"Comedy, Crime, Drama",7.8,40 min,TV-14,(2005–2017)
56,Sons of Anarchy,"Crime, Drama, Thriller",8.5,45 min,TV-MA,(2008–2014)
57,How I Met Your Mother,"Comedy, Romance",8.3,22 min,TV-14,(2005–2014)
58,Manifest,"Drama, Mystery, Sci-Fi",7.2,43 min,TV-14,(2018– )
59,The Vampire Diaries,"Drama, Fantasy, Horror",7.7,43 min,TV-14,(2009–2017)
60,Westworld,"Drama, Mystery, Sci-Fi",8.6,62 min,TV-MA,(2016– )
61,Good Girls,"Comedy, Crime, Drama",7.8,43 min,TV-14,(2018– )
62,Young Sheldon,Comedy,7.5,30 min,TV-PG,(2017– )
63,The Wire,"Crime, Drama, Thriller",9.3,59 min,TV-MA,(2002–2008)
64,Parks and Recreation,Comedy,8.6,22 min,TV-14,(2009–2020)
65,Homeland,"Crime, Drama, Mystery",8.3,55 min,TV-MA,(2011–2020)
66,Doctor Who,"Adventure, Drama, Family",8.6,45 min,TV-PG,(2005– )
67,Mayans M.C.,"Crime, Drama, Thriller",7.6,60 min,TV-MA,(2018– )
68,Suits,"Comedy, Drama",8.5,44 min,TV-14,(2011–2019)
69,The Expanse,"Drama, Mystery, Sci-Fi",8.5,60 min,TV-14,(2015– )
70,Cobra Kai,"Action, Comedy, Drama",8.6,30 min,TV-14,(2018– )
71,The Last Kingdom,"Action, Drama, History",8.4,60 min,TV-MA,(2015– )
72,Community,Comedy,8.5,22 min,TV-14,(2009–2015)
73,The X-Files,"Crime, Drama, Mystery",8.6,45 min,TV-14,(1993–2018)
74,Dexter,"Crime, Drama, Mystery",8.6,53 min,TV-MA,(2006–2021)
75,It's Always Sunny in Philadelphia,Comedy,8.8,22 min,TV-MA,(2005– )
76,The 100,"Drama, Mystery, Sci-Fi",7.6,43 min,TV-14,(2014–2020)
77,City on a Hill,"Crime, Drama, Thriller",7.5,60 min,TV-MA,(2019– )
78,The Bold Type,"Comedy, Drama",8.0,45 min,TV-14,(2017– )
79,New Girl,Comedy,7.7,22 min,TV-14,(2011–2018)
80,Rick and Morty,"Animation, Adventure, Comedy",9.2,23 min,TV-MA,(2013– )
81,Chicago Fire,"Action, Drama",7.9,43 min,TV-14,(2012– )
82,Gilmore Girls,"Comedy, Drama",8.1,44 min,TV-PG,(2000–2007)
83,Queen of the South,"Action, Crime, Drama",7.9,42 min,TV-MA,(2016– )
84,Star Trek: Discovery,"Action, Adventure, Drama",7.2,60 min,TV-14,(2017– )
85,True Detective,"Crime, Drama, Mystery",8.9,55 min,TV-MA,(2014–2019)
86,Family Guy,"Animation, Comedy",8.1,22 min,TV-14,(1999– )
87,Star Trek: The Next Generation,"Action, Adventure, Mystery",8.6,44 min,TV-PG,(1987–1994)
88,The Simpsons,"Animation, Comedy",8.6,22 min,TV-PG,(1989– )
89,Arrested Development,Comedy,8.7,22 min,TV-14,(2003–2019)
90,Zoey's Extraordinary Playlist,"Comedy, Drama, Musical",8.2,60 min,TV-14,(2020– )
91,Titans,"Action, Adventure, Crime",7.7,45 min,TV-MA,(I) (2018– )
92,SEAL Team,"Action, Drama, War",7.6,43 min,TV-14,(2017– )
93,Heartland,"Drama, Family",8.4,45 min,TV-PG,(II) (2007– )
94,Blue Bloods,"Crime, Drama, Mystery",7.6,43 min,TV-14,(2010– )
95,Scrubs,"Comedy, Drama",8.3,22 min,TV-14,(2001–2010)
96,Death in Paradise,"Comedy, Crime, Drama",7.8,60 min,TV-PG,(2011– )
97,Solar Opposites,"Animation, Comedy, Sci-Fi",8.0,181 min,TV-MA,(2020– )
98,Snowfall,"Crime, Drama",8.1,44 min,TV-MA,(2017– )
99,My Hero Academia,"Animation, Action, Adventure",8.5,24 min,TV-14,(2016– )
100,Arrow,"Action, Adventure, Crime",7.5,42 min,TV-14,(2012–2020)
101,Chicago P.D.,"Action, Crime, Drama",8.1,43 min,TV-14,(2014– )
102,Prison Break,"Action, Crime, Drama",8.3,44 min,TV-14,(2005–2017)
103,9-1-1,"Action, Drama, Thriller",7.7,43 min,TV-14,(2018– )
104,A Million Little Things,"Comedy, Drama, Romance",8.0,43 min,TV-14,(2018– )
105,You,"Crime, Drama, Romance",7.7,45 min,TV-MA,(2018– )
106,Buffy the Vampire Slayer,"Action, Drama, Fantasy",8.2,44 min,TV-14,(1997–2003)
107,Billions,Drama,8.4,60 min,TV-MA,(2016– )
108,The Equalizer,"Action, Crime, Drama",4.6,N/A,TV-14,(2021– )
109,The Terror,"Adventure, Drama, History",8.0,60 min,TV-14,(2018– )
110,Succession,Drama,8.6,60 min,TV-MA,(2018– )
111,Legacies,"Adventure, Drama, Fantasy",7.4,45 min,TV-14,(2018– )
112,Sherlock,"Crime, Drama, Mystery",9.1,88 min,TV-14,(2010–2017)
113,24,"Action, Crime, Drama",8.3,44 min,TV-14,(2001–2010)
114,Dark,"Crime, Drama, Mystery",8.8,60 min,TV-MA,(2017–2020)
115,Two and a Half Men,"Comedy, Romance",7.0,22 min,TV-14,(2003–2015)
116,Once Upon a Time,"Adventure, Fantasy, Romance",7.7,60 min,TV-PG,(2011–2018)
117,Sex Education,"Comedy, Drama",8.3,45 min,TV-MA,(2019– )
118,Family Reunion,Comedy,6.5,28 min,TV-PG,(2019– )
119,American Gods,"Drama, Fantasy, Mystery",7.8,60 min,TV-MA,(2017– )
120,The Goldbergs,Comedy,8.1,22 min,TV-PG,(2013– )
121,Chicago Med,Drama,7.5,43 min,TV-14,(2015– )
122,Friday Night Dinner,Comedy,8.1,24 min,TV-14,(2011–2020)
123,No Activity,"Animation, Comedy",6.8,30 min,TV-MA,(2017– )
124,Bosch,"Crime, Drama",8.4,51 min,TV-MA,(2014– )
125,Station 19,"Action, Drama, Romance",6.6,60 min,TV-14,(2018– )
126,Castle,"Comedy, Crime, Drama",8.1,43 min,TV-14,(2009–2016)
127,One Piece,"Animation, Action, Adventure",8.7,24 min,TV-14,(1999– )
128,Mad Men,Drama,8.6,47 min,TV-14,(2007–2015)
129,Keeping Faith,"Drama, Mystery, Thriller",7.1,60 min,Not Rated,(2017– )
130,Hawaii Five-0,"Action, Crime, Drama",7.3,42 min,TV-14,(2010–2020)
131,Seinfeld,Comedy,8.8,22 min,TV-PG,(1989–1998)
132,A Discovery of Witches,"Drama, Fantasy, Romance",8.0,60 min,TV-MA,(2018– )
133,ER,"Drama, Romance",7.7,44 min,TV-14,(1994–2009)
134,MacGyver,"Action, Adventure, Drama",5.3,43 min,TV-14,(2016–2021)
135,NCIS: Los Angeles,"Action, Crime, Drama",6.7,43 min,TV-14,(2009– )
136,The Umbrella Academy,"Action, Adventure, Comedy",8.0,60 min,TV-14,(2019– )
137,Teen Wolf,"Action, Drama, Fantasy",7.6,41 min,TV-14,(2011–2017)
138,Mr. Robot,"Crime, Drama, Thriller",8.5,49 min,TV-MA,(2015–2019)
139,Star Trek: Picard,"Action, Adventure, Drama",7.5,46 min,TV-MA,(2020– )
140,Downton Abbey,"Drama, Romance",8.7,58 min,TV-PG,(2010–2015)
141,The Mentalist,"Crime, Drama, Mystery",8.1,43 min,TV-14,(2008–2015)
142,The Resident,Drama,7.7,60 min,TV-14,(2018– )
143,Euphoria,Drama,8.4,55 min,TV-MA,(2019– )
144,Desperate Housewives,"Comedy, Drama, Mystery",7.5,45 min,TV-14,(2004–2012)
145,Stargate SG-1,"Action, Adventure, Drama",8.4,44 min,TV-14,(1997–2007)
146,Narcos,"Biography, Crime, Drama",8.8,49 min,TV-MA,(2015–2017)
147,NCIS: New Orleans,"Crime, Drama, Mystery",6.8,42 min,TV-14,(2014–2021)
148,Doom Patrol,"Action, Adventure, Comedy",7.9,60 min,TV-MA,(2019– )
149,Banshee,"Action, Crime, Drama",8.4,60 min,TV-MA,(2013–2016)
150,Bob's Burgers,"Animation, Comedy",8.1,22 min,TV-PG,(2011– )
151,Orange Is the New Black,"Comedy, Crime, Drama",8.1,59 min,TV-MA,(2013–2019)
152,How to Get Away with Murder,"Crime, Drama, Mystery",8.1,43 min,TV-14,(2014–2020)
153,Last Man Standing,Comedy,7.6,30 min,TV-PG,(2011–2021)
154,The Syndicate,"Drama, Mystery",7.6,60 min,N/A,(I) (2012– )
155,Younger,"Comedy, Romance",7.8,22 min,TV-14,(2015– )
156,Star Trek: Deep Space Nine,"Action, Adventure, Drama",8.0,45 min,TV-PG,(1993–1999)
157,Curb Your Enthusiasm,Comedy,8.7,28 min,TV-MA,(2000– )
