,TV_show,review_title,review_content,review_helpful,review_rating,review_date
0,Baki, Worth watching,"It's true, it doesn't have a great storyline, and a lot of stuff that happens doesnt make any sense at all. But it is worth watching. Its violent and crazy maybe even a little bit bizarre at times, but it makes me feel like what I would have imagined when I was younger playing around acting as if I was a super powerful ninja fighter or something, I know it is weird but that's what I like about it.",40 out of 49 found this helpful.,7.0,21 March 2019
1,Baki, Goes downhill real fast,"First 4 or so episodes show promise. However, the plot begins to fall apart soon after. The idea was that all the prisoners were to challenge Baki, yet they end up not even caring about him. The story begins to unnecessarily introduce random characters related to already minor characters to fight the big bad prisoners. The fights constantly switch between a classic 2D style and a wonky 3D animation, making fights a complete mess. Along with this, they decided the characters were required to read a 1000 word essay before they can finish a fight. This was a huge let down and would not recommend.",78 out of 109 found this helpful.,2.0,29 December 2018
2,Baki, Ridiculous and nonsenseical,"I really can't understand people giveing this a good rating. The entire thing is rediculous and doesn't make sense, I suppose some of it could just be lost in translation but I have watched a helluva lot of anime and nothing was as hard to follow as this. I get that it's story isn't really the point but, jeeze, there has to be some premise, the fight scenes are ok for the few seconds that they are actually fighting, but the constant lack of closure on them is annoying, no one ever really wins a fight. Then they have this romance subplot that feels extremely forced so that they can have a conflict at the end. This has got to be one of the worst anime I've watched in my life and the amount of time I rolled my eyes in the 13 episodes hurt my brain.",68 out of 114 found this helpful.,2.0,20 December 2018
3,Baki, This show will you knock you out - with boredom,"Baki is a show that promises you brutal, flashy and violent fights. The premise is excellent: human monsters gathering to fight in true no-holds-barred fights, demolishing and destroying each other in a smorgasbord of violence.<br/><br/>And yes, the show is violent. Characters that hold no meaning to the plot are easily killed off, having their heads crushed and guts blown out their ears, while the main characters, while getting grievously injured somehow always seem to survive.<br/><br/>However, as the ""plot"" advances the fights start to suffer from... talking. Instead of beating each other's guts out, the characters talk to each other. They have flashbacks. They analyze not only their enemies moves, but they also share the secrets of their own moves. The fighters pull aces out of their sleeves one after another, only to stop for a 30 second monologue while their opponent recuperates and has a chance to pull out their next ace in the hole.<br/><br/>If that wasn't enough, the show varies wildly in it's animation. Some fights are partly animated in cell-shaded 3D, only to drop back down to more traditional 2D-style still images while the characters have their useless dialogues. The art style itself isn't necessarily bad, but the wild fluctuations in quality are jarring.<br/><br/>The Japanese voice acting isn't bad, but once again they have Japanese people who can't speak English doing English voice lines.<br/><br/>In closing, if you're a martial arts enthusiast wishing to see amazing fights, you should probably look somewhere else. Or just watch a remix of all the fights from YouTube. You won't miss a thing from the plot if you do that.",53 out of 91 found this helpful.,1.0,22 December 2018
4,Baki, Baki is exactly what it's supposed to be but this season has some issues,"<ul><li>''Baki'' (2018) starts where the previous anime ''Grappler Baki'' left off and it jumps straight to the point. Death penalty prisoners, who are all beasts in their own respective way, escape in impossible manners and are on the hunt for every strong person so they can eventually, maybe, be defeated, which is something they still haven't felt being all-powerful as they think they are.</li><li>Baki and the crew decide to contest them and meet them head-on in series of skirmishes filled with martial arts and weapons because these prisoners aren't very prideful and they'll do anything to win. I would describe the show as if Mortal Kombat had an anime set in the modern age. Brutal fights, bizarre characters, and events, and all-around shlock. The animation is not that good but it really doesn't have to be. The art is pretty good but the sudden shifts between 2d and 3d are kind of jarring. The soundtrack is fine and though not better than the previous show it has the same feel, the opening songs are great, especially the second one. One more thing that was off is the way villains go from terrifying to not in the same league as our heroes, getting beat up by everyone and toyed around.</li><li>The key factor of entertainment in Baki is its ever-growing passion and sporty sense in which it is portrayed. It knows what it is and fully embraces that. Perfect guilty pleasure material for gym-goers and martial arts nerds, *cough* I mean, for manly men!</li></ul>",13 out of 19 found this helpful.,6.0,28 January 2019
5,Baki, A very poor attempt at what could be great.,"Reading the plot and seeing the trailer made me really excited to see the show. However having seen it all I'm really disappointed, of 14 episodes most of the time its nonsense conversation between characters basic repetitive fighting (dust in eyes, kick then and uninteresting twist with loads of conversation and stare downs.. then someone kinda does die but then comes back anyway) Baki never truly has a fight even when I was holding out until the last episode, I was let down... It could have been a show finished WELL in 20 episodes have the 5v5 that the shows starts with rather than get all convaluted and side tracked with other CHARACTERS and backstories. Episodes 1-4 I felt like I was in for a good time, 4-8 one OK fight took a while though 8-12 boring, repetitive, why won't this guy just get killed off 12-14 annoyed. Must be bakis fight finally... End of episode 14. Angry I'd kept going after episode 8. I feel like Netflix needs to change its approach to anime, it seems they're aiming for long drawn out uninteresting shows... I'd rather see a quality short series than have season after season of poor content.",37 out of 64 found this helpful.,4.0,22 December 2018
6,Baki, Nonsensical anime with few fighting contests and lots of staring contests,The animes name is baki who is supposed to be the strongest fighter in the world after winning an underground tournament. 5 fierce death row inmates travel to Tokyo to challenge him but to my surprise baki barely ever fights in the whole series and all the fights are less action/punches and more dialogues stares and loud music. The anime is so stupid and lacks action or story of any kind. HARD PASS,45 out of 81 found this helpful.,1.0,21 December 2018
7,Baki, Crazy mix but addictive,Mild spoilers nothing about the plot. This is a throw back to 90s Manga/Anime Fist of the north star. One touch killer blows (sort of). But basically super human killers with muscles to He Man to shame. Have a good smoke before watching and leave your brain off and have fun. Think of cut scenes from street fighter or Tekken and you'll know what to expect.,21 out of 35 found this helpful.,7.0,25 December 2018
8,Baki, Outrageous action and story line but epic none the less,I started watching the series after watching a few YouTube clips but I have to say was hooked straight on. Do not expect a mind bending story line like death note or brotherhood. This is a full on 80-90s action series done really well.,41 out of 76 found this helpful.,10.0,16 December 2018
9,Baki, Awesome,A really good anime. I'm hoping for a new season with lots of episodes! Have fun watching you all!,34 out of 62 found this helpful.,10.0,16 January 2019
