-0.75,abandon
-0.5,abandoned
-0.25,abandoner
-0.25,abandonment
-1,abandons
-1,abducted
-0.5,abduction
-1,abductions
-0.6,aberrant
-0.8,aberration
-0.5,abhor
-1,abhorred
-0.5,abhorrent
-1,abhors
0.6,abilities
0.5,ability
-1,abject
-0.25,ablaze
-0.5,abnormal
0.25,aboard
-0.5,abolish
-0.5,abominable
-1,abominably
-1,abominate
-0.5,abomination
-0.5,abort
-0.8,aborted
-0.8,abortion
-1,abortive
-0.6,aborts
0.25,abound
0.25,abounds
-0.6,abrasion
-0.5,abrasive
-0.4,abrogate
-0.25,abrupt
-0.25,abruptly
-0.5,abscess
-1,abscond
-0.5,absence
-0.6,absent
-0.75,absentee
-1,absenteeism
-0.6,absentees
-0.8,absentminded
-0.25,absolute
0.1,absolution
1,absolve
1,absolved
1,absolves
1,absolving
0.5,absorbed
-0.25,abstinence
-0.25,abstractedly
-0.25,abstraction
-0.75,absurd
-0.5,absurdity
-0.8,absurdly
-0.8,absurdness
0.6,abundance
0.5,abundant
-1,abuse
-0.75,abused
-0.5,abuses
-0.5,abusive
-0.5,abysmal
-1,abysmally
-0.75,abyss
0.4,academic
0.4,academy
0.25,accentuated
1,accept
0.5,acceptable
0.8,acceptance
0.8,accepted
0.6,accepting
0.8,accepts
0.8,accessable
0.75,accessible
-0.5,accident
-1,accidental
-0.6,accidentally
-0.6,accidents
0.6,acclaim
0.6,acclaimed
0.6,acclamation
0.5,accolade
0.6,accolades
0.4,accommodation
0.8,accommodative
0.6,accompaniment
0.4,accompany
0.25,accompanying
0.75,accomplish
0.75,accomplished
0.8,accomplishes
0.5,accomplishment
1,accomplishments
0.8,accord
0.25,accordingly
-0.8,accost
-0.8,accosted
0.8,accountability
0.8,accountable
-0.25,accountant
0.8,accredited
0.25,accumulate
0.5,accurate
0.6,accurately
-0.5,accursed
-1,accusation
-0.75,accusations
-1,accusative
-0.5,accuse
-0.5,accused
-1,accuser
-0.5,accuses
-1,accusing
-1,accusingly
0.8,ace
-1,acerbate
-0.75,ache
-1,ached
-0.5,aches
-0.8,achey
0.8,achievable
1,achieve
0.5,achievement
1,achievements
-0.75,aching
-1,achy
-0.4,acid
0.25,acing
0.4,acknowledgment
0.8,acquire
0.8,acquired
0.8,acquiring
-0.25,acquit
-0.25,acquits
-0.25,acquitted
-0.25,acquitting
-0.5,acrid
-1,acridly
-1,acridness
-0.5,acrimonious
-1,acrimoniously
-1,acrimony
0.25,action
0.25,actionable
0.25,active
0.4,actual
-0.25,actuality
0.6,acuity
0.5,acumen
-0.25,acute
0.8,adapt
